
       XFOIL         Version 6.96
  
 Calculated polar for: EPPLER E851 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.500  -0.4789   0.08530   0.08318  -0.0354   1.0000   0.0116
  -8.250  -0.4912   0.08243   0.08036  -0.0343   1.0000   0.0117
  -8.000  -0.5019   0.07906   0.07704  -0.0346   0.9994   0.0116
  -7.750  -0.4936   0.07197   0.06996  -0.0443   0.9954   0.0118
  -7.500  -0.4810   0.06102   0.05889  -0.0624   0.9880   0.0117
  -7.250  -0.4646   0.05391   0.05157  -0.0716   0.9835   0.0121
  -7.000  -0.4440   0.04772   0.04512  -0.0782   0.9805   0.0128
  -6.750  -0.4291   0.04312   0.04028  -0.0804   0.9741   0.0137
  -6.500  -0.4034   0.03874   0.03559  -0.0834   0.9713   0.0151
  -6.250  -0.3669   0.03800   0.03457  -0.0848   0.9699   0.0173
  -6.000  -0.3450   0.03464   0.03088  -0.0858   0.9656   0.0174
  -5.750  -0.3219   0.03131   0.02722  -0.0866   0.9615   0.0174
  -5.250  -0.2676   0.01856   0.01333  -0.0883   0.9578   0.0070
  -5.000  -0.2359   0.01567   0.01003  -0.0891   0.9568   0.0062
  -4.750  -0.2032   0.01371   0.00785  -0.0901   0.9560   0.0058
  -4.500  -0.1831   0.01257   0.00655  -0.0885   0.9503   0.0057
  -4.250  -0.1518   0.01151   0.00532  -0.0894   0.9483   0.0059
  -4.000  -0.1181   0.01077   0.00439  -0.0907   0.9469   0.0070
  -3.750  -0.0840   0.00987   0.00362  -0.0922   0.9458   0.0630
  -3.500  -0.0526   0.00844   0.00314  -0.0944   0.9448   0.3001
  -3.250  -0.0203   0.00776   0.00306  -0.0960   0.9438   0.4790
  -3.000   0.0078   0.00768   0.00300  -0.0962   0.9406   0.5092
  -2.750   0.0362   0.00762   0.00291  -0.0964   0.9372   0.5388
  -2.500   0.0680   0.00755   0.00282  -0.0973   0.9351   0.5558
  -2.250   0.1006   0.00746   0.00272  -0.0984   0.9333   0.5713
  -2.000   0.1337   0.00738   0.00266  -0.0996   0.9318   0.5895
  -1.750   0.1671   0.00731   0.00260  -0.1008   0.9304   0.6054
  -1.500   0.1919   0.00731   0.00260  -0.1003   0.9258   0.6164
  -1.250   0.2214   0.00726   0.00255  -0.1007   0.9227   0.6260
  -1.000   0.2529   0.00720   0.00249  -0.1016   0.9203   0.6356
  -0.750   0.2853   0.00711   0.00243  -0.1026   0.9182   0.6446
  -0.500   0.3128   0.00710   0.00244  -0.1026   0.9142   0.6540
  -0.250   0.3405   0.00707   0.00245  -0.1026   0.9098   0.6643
   0.000   0.3716   0.00699   0.00241  -0.1033   0.9063   0.6750
   0.250   0.4006   0.00694   0.00241  -0.1036   0.9019   0.6860
   0.500   0.4275   0.00689   0.00241  -0.1034   0.8958   0.6978
   0.750   0.4588   0.00679   0.00237  -0.1040   0.8908   0.7107
   1.000   0.4838   0.00673   0.00238  -0.1032   0.8822   0.7246
   1.250   0.5113   0.00666   0.00241  -0.1030   0.8741   0.7398
   1.500   0.5389   0.00656   0.00236  -0.1027   0.8638   0.7566
   1.750   0.5639   0.00645   0.00233  -0.1017   0.8499   0.7748
   2.250   0.6139   0.00630   0.00237  -0.1000   0.8247   0.8191
   2.500   0.6369   0.00623   0.00247  -0.0987   0.8090   0.8469
   2.750   0.6568   0.00614   0.00246  -0.0965   0.7794   0.8815
   3.000   0.6745   0.00609   0.00242  -0.0938   0.7347   0.9341
   3.250   0.6992   0.00647   0.00245  -0.0929   0.6337   1.0000
   3.500   0.7000   0.00795   0.00291  -0.0877   0.4276   1.0000
   3.750   0.7051   0.00970   0.00354  -0.0839   0.1996   1.0000
   4.000   0.7200   0.01089   0.00406  -0.0820   0.0737   1.0000
   4.250   0.7407   0.01160   0.00449  -0.0809   0.0255   1.0000
   4.500   0.7607   0.01257   0.00548  -0.0791   0.0051   1.0000
   4.750   0.7822   0.01335   0.00640  -0.0777   0.0045   1.0000
   5.000   0.8021   0.01438   0.00756  -0.0759   0.0042   1.0000
